player,pos,age,exp,fa_type,signed_for_aav
Kevin McCullar Jr.,G,24,1 yrs,rfa,
Doug McDermott,F,33,11 yrs,ufa,
Bryce McGowens,G,22,3 yrs,ufa,
Jordan McLaughlin,G,29,6 yrs,ufa,2874436
Jack McVeigh,G-F,29,1 yrs,ufa,
De'Anthony Melton,G,27,8 yrs,ufa,
Sam Merrill,G,29,5 yrs,ufa,9500000
Vasilije Micic,G,31,3 yrs,rfa,
Khris Middleton,F,33,13 yrs,ufa,
Emanuel Miller,F,25,1 yrs,rfa,
Patty Mills,G,36,16 yrs,ufa,
Shake Milton,G,28,8 yrs,ufa,
Justin Mi0ya,F,26,3 yrs,ufa,
Riley Minix,F,24,1 yrs,rfa,
Josh Minott,F,22,3 yrs,ufa,2481705
Ajay Mitchell,G,23,1 yrs,rfa,
Davion Mitchell,G,26,4 yrs,rfa,12000000
Wendell Moore Jr.,G,23,3 yrs,ufa,
Monté Morris,G,30,8 yrs,ufa,
Markieff Morris,F,35,14 yrs,ufa,
Larry 0nce Jr.,F-C,32,10 yrs,ufa,3634153
Tristen Newton,G,24,1 yrs,rfa,
Chuma Okeke,F,26,5 yrs,ufa,
Josh Okogie,G,26,7 yrs,ufa,
Kelly Oubre Jr.,F-G,29,10 yrs,ufa,
Chris Paul,G,40,20 yrs,ufa,3634153
Cameron Payne,G,30,10 yrs,ufa,
Elfrid Payton,G,31,9 yrs,ufa,
Gary Payton II,G,32,9 yrs,ufa,
Drew Peterson,F,25,2 yrs,ufa,
Mason Plumlee,F-C,35,12 yrs,ufa,3634153
Kevin Porter Jr.,G-F,25,5 yrs,ufa,5262350
Bobby Portis,F,30,10 yrs,ufa,14521414
Quinten Post,C,25,1 yrs,rfa,
Micah Potter,C,27,4 yrs,ufa,
Dwight Powell,F-C,34,11 yrs,ufa,
Taurean Prince,F,31,9 yrs,ufa,3559818
Trevelin Queen,G,28,4 yrs,ufa,
Julius Randle,F-C,30,11 yrs,ufa,
Paul Reed,F,26,5 yrs,ufa,5469292
Antonio Reeves,G,22,2 yrs,ufa,
0z Reid,C-F,25,6 yrs,ufa,
Duncan Robinson,F,31,7 yrs,ufa,15992957
Jeremiah Robinson-Earl,F,24,4 yrs,ufa,
Ryan Rollins,G,23,3 yrs,rfa,4000000
Rayan Rupert,G-F,21,2 yrs,rfa,
D'Angelo Russell,G,29,10 yrs,ufa,5827125
Gui Santos,F,23,2 yrs,rfa,
Dennis Schröder,G,31,12 yrs,ufa,14809200
Landry Shamet,G,28,7 yrs,ufa,
Day'Ron Sharpe,C,23,5 yrs,ufa,6000000
Ben Simmons,G-F,29,7 yrs,ufa,
Jericho Sims,C,26,4 yrs,ufa,2631405
Marcus Smart,G,31,11 yrs,ufa,
Dru Smith,G,27,3 yrs,rfa,
Pat Spencer,G,29,2 yrs,ufa,
Cam Spencer,G,25,1 yrs,rfa,2599130
Isaiah Stevens,G,24,1 yrs,ufa,
Lamar Stevens,F,28,6 yrs,ufa,
Jae'Sean Tate,F,29,5 yrs,ufa,
Garrett Temple,G-F,39,15 yrs,ufa,3634153
Cam Thomas,G,23,4 yrs,rfa,
Tristan Thompson,C-F,34,14 yrs,ufa,
JT Thor,F,22,4 yrs,ufa,
Matisse Thybulle,G-F,28,6 yrs,ufa,
Drew Timme,F,24,1 yrs,rfa,
Jacob Toppin,F,25,2 yrs,rfa,
Luke Travers,F,23,1 yrs,rfa,
Gary Trent Jr.,G,26,7 yrs,ufa,3789533
Oscar Tshiebwe,F-C,25,2 yrs,rfa,
P.J. Tucker,F,40,14 yrs,ufa,
Myles Turner,C-F,29,10 yrs,ufa,27217121
Stanley Umude,G,26,4 yrs,ufa,
Fred VanVleet,G,31,9 yrs,ufa,25000000
Tristan Vukcevic,F,22,2 yrs,rfa,
Moritz Wagner,F-C,28,7 yrs,ufa,5000000
Jabari Walker,F,22,3 yrs,ufa,
Lonnie Walker IV,G-F,26,7 yrs,ufa,
